relation_id,type,source_id,target_id
decides_CASE_محكمة_النقض_1_CASE_789/2025_1,decides,COURT_محكمة_النقض_1,CASE_789/2025_1
decides_CASE_محكمة_النقض_1_CASE_1289/5/4/2025_2,decides,COURT_محكمة_النقض_1,CASE_1289/5/4/2025_2
judged_by_CASE_789/2025_1_JUDGE_رئيس_الغرفة_الإدارية_1,judged_by,CASE_789/2025_1,JUDGE_رئيس_الغرفة_الإدارية_1
prosecuted_by_CASE_789/2025_1_ATTORNEY_GENERAL_المحامي_العام_1,prosecuted_by,CASE_789/2025_1,ATTORNEY_GENERAL_المحامي_العام_1
clerk_for_COURT_CLERK_كاتبة_الضبط_1_COURT_محكمة_النقض_1,clerk_for,COURT_CLERK_كاتبة_الضبط_1,COURT_محكمة_النقض_1
represented_by_CASE_1289/5/4/2025_2_LAWYER_ن.ل_1,represented_by,CASE_1289/5/4/2025_2,LAWYER_ن.ل_1
published_in_LAW_1.11.91_2_OFFICIAL_JOURNAL_5964_1,published_in,LAW_1.11.91_2,OFFICIAL_JOURNAL_5964_1
effective_on_LAW_1.11.91_2_DATE_2011-07-29_4,effective_on,LAW_1.11.91_2,DATE_2011-07-29_4
effective_on_LAW_1.11.91_2_DATE_2011-07-30_5,effective_on,LAW_1.11.91_2,DATE_2011-07-30_5
contains_SECTION_القسم_الإداري_1_ARTICLE_1_1,contains,SECTION_القسم_الإداري_1,ARTICLE_1_1
contains_SECTION_القسم_الإداري_1_ARTICLE_3_2,contains,SECTION_القسم_الإداري_1,ARTICLE_3_2
contains_SECTION_القسم_الإداري_1_ARTICLE_4_3,contains,SECTION_القسم_الإداري_1,ARTICLE_4_3
contains_SECTION_القسم_الإداري_1_ARTICLE_7_4,contains,SECTION_القسم_الإداري_1,ARTICLE_7_4
contains_SECTION_القسم_الإداري_1_ARTICLE_25_5,contains,SECTION_القسم_الإداري_1,ARTICLE_25_5
contains_SECTION_القسم_الإداري_1_ARTICLE_29_6,contains,SECTION_القسم_الإداري_1,ARTICLE_29_6
contains_SECTION_القسم_الإداري_1_ARTICLE_37_7,contains,SECTION_القسم_الإداري_1,ARTICLE_37_7
judged_by_CASE_789/2025_1_JUDGE_محمد_بنعيسى_2,judged_by,CASE_789/2025_1,JUDGE_محمد_بنعيسى_2
judged_by_CASE_789/2025_1_JUDGE_فاطمة_الزهراء_الإدريسي_3,judged_by,CASE_789/2025_1,JUDGE_فاطمة_الزهراء_الإدريسي_3
prosecuted_by_CASE_789/2025_1_ATTORNEY_GENERAL_عبد_الرحيم_العلوي_2,prosecuted_by,CASE_789/2025_1,ATTORNEY_GENERAL_عبد_الرحيم_العلوي_2
clerk_for_COURT_CLERK_خديجة_الوردي_2_COURT_محكمة_النقض_1,clerk_for,COURT_CLERK_خديجة_الوردي_2,COURT_محكمة_النقض_1
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_7_4,refers_to,INTERNAL_REF_7-12_1,ARTICLE_7_4
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_8_1,refers_to,INTERNAL_REF_7-12_1,ARTICLE_8_1
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_9_1,refers_to,INTERNAL_REF_7-12_1,ARTICLE_9_1
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_10_1,refers_to,INTERNAL_REF_7-12_1,ARTICLE_10_1
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_11_1,refers_to,INTERNAL_REF_7-12_1,ARTICLE_11_1
REL_refers_to_INTERNAL_REF_7-12_1_ARTICLE_12_1,refers_to,INTERNAL_REF_7-12_1,ARTICLE_12_1
